tweet_id,user_id,created_at,text,hashtags,retweetcount,retweeter_ids
1659771661145735168,1005342975331713024,2023-05-20 04:02:55+00:00,"“ขอให้ประมวลแล้วติดอันดับ”  
“ขอให้ประมวลแล้วติดอันดับ”  
“ขอให้ประมวลแล้วติดอันดับ”
“ขอให้ประมวลแล้วติดอันดับ”
“ขอ… https://t.co/Vh1oFXH8ks",,30,
1659771653830897665,1248590160771444736,2023-05-20 04:02:53+00:00,บัญชีมศวรับกี่คนหรอคะ #dek66,dek66,1,1514673229306105858
1659771650664177669,1042067311090253824,2023-05-20 04:02:53+00:00,#นิติจุฬา เมคเฟรนกันม้ายคั้บบบ อิอิ🫶🏽 #dek66 https://t.co/G8Qjl6igih,"นิติจุฬา,dek66",1,"1318225893127381000,1387208975142121472,254597268"
1659771650978746369,3245230368,2023-05-20 04:02:53+00:00,"แก้วกาแฟน้องแมวว น่ารักมากกก เป็นเซรามิคนะทุกคน ใครอยากได้ไปใช้ลองดูร้านนี้เลย ร้อยกว่าบาท ลายน้องน่ารักมากๆ
📌📌… https://t.co/nV3KIknKCX",,0,
1659771652362874880,1650319735425486849,2023-05-20 04:02:53+00:00,จะปล่อยให้เด็กไม่มีที่เรียนแบบนี้จีงๆหร๊อ #dek66,dek66,8,"1471335341126684673,1125983306980311040,1393112286395473920"
1659771647879172099,915176146643193857,2023-05-20 04:02:52+00:00,คนที่ติดศิลปศาสตร์ อิ้ง มหิดล ได้คะแนนเท่าไหร่กันคะ😅 #dek66,dek66,2,"1047500250104061952,1526102769861468160"
1659771633572392962,1087889562112643072,2023-05-20 04:02:49+00:00,มีใครติดกายภาพ มช มั้ย ยื่นประมวลรอบสองแล้ว แต่กลัวอันดันไม่เลื่อน อยากเมคเฟรนด์ไว้ก่อนคับ #dek66,dek66,0,
1659771631374569479,1170521930891284480,2023-05-20 04:02:48+00:00,อยากได้ยอดมนุษย์กันหรอ เครียดดดด #dek66,dek66,0,
1659771628350500865,1518843158318415873,2023-05-20 04:02:47+00:00,สอบถามเกี่ยวกับเทคนิคการสัตวแพทย์ มก.ค้าบ เรียนประมาณไหนยังไง จบมาทำงานอะไรได้บ้าง ตกงานมั้ยคะ🥺 #dek66,dek66,0,1381287347522658305
1659771622017105921,931894439038951425,2023-05-20 04:02:46+00:00,มีใครติดม.บูรพา มนุดอิ้งพิเศษมั้ยคะ 🥺 #dek66,dek66,0,
